metric,delta,lo,hi,p_better,signifikan,model,dari,ke
TSS,-0.14327796234772971,-0.20198337305218447,-0.07025555609315585,0.002,True,Regresi logistik,A. SHARP saja,B. + temporal
HSS,-0.10465372431360587,-0.1658614711604957,-0.046358919209739835,0.0,True,Regresi logistik,A. SHARP saja,B. + temporal
TSS,0.06746400885935766,0.00625923264099152,0.10271010849758298,0.982,True,Regresi logistik,B. + temporal,C. + riwayat
HSS,0.04289930204184614,0.014260738911306102,0.07270735093889583,1.0,True,Regresi logistik,B. + temporal,C. + riwayat
TSS,-0.004695459579180494,-0.06689319731858741,0.09418855246101032,0.405,False,Regresi logistik (C disetel),A. SHARP saja,B. + temporal
HSS,-0.028219518843579317,-0.05774731582134546,0.002040571827361065,0.033,False,Regresi logistik (C disetel),A. SHARP saja,B. + temporal
TSS,0.016854928017718596,-0.021137037276527007,0.0531443827276969,0.855,False,Regresi logistik (C disetel),B. + temporal,C. + riwayat
HSS,0.011345793642299401,-0.0025689281061497507,0.026492325553604607,0.942,False,Regresi logistik (C disetel),B. + temporal,C. + riwayat
